Transfer Authority,Fiscal Year of Request,Implementing Agency,Country (Transfer to),Item Description,Status,Status Date,Qty Requested,Qty Allocated,Qty Accepted,Qty Rejected,Total Delivered Qty,Total Acquisition Value,Total Current Value
Grant Authority,2012,Army,Morocco,"MACHINE GUN, 7.62, M60",Service Authorized to Supply EDA,12/3/12,3000,3000,0,0,0,"$17,592,000.00","$1,759,200.00"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, CARGO, 2.5T ESP",Service Authorized to Supply EDA,2/6/12,3,3,0,0,0,"$169,500.00","$50,850.00"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, CARGO, 2.5T ESP",Service Authorized to Supply EDA,2/6/12,1,1,0,0,0,"$56,500.00","$11,300.00"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, TRACTOR, 5T",EDA Delivered,8/12/12,20,20,20,0,3,"$1,419,920.00","$283,984.00"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK TRACTOR, 5T",Service Authorized to Supply EDA,2/6/12,1,1,0,0,0,"$85,185.00","$17,037.00"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, WRECKER 5T PIP",EDA Delivered,3/24/14,1,1,1,0,1,"$125,736.00","$37,720.80"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, WRECKER, 5T PIP",EDA Delivered,3/24/14,1,1,1,0,1,"$125,736.00","$25,147.20"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK UTILITY, HMMWV, 1 1/4 T",EDA Delivered,9/30/13,17,17,16,0,16,"$590,495.00","$118,099.00"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, UTILITY, HMMWV, M1026 ARMORED",EDA Delivered,3/24/14,1,1,1,0,1,"$39,518.00","$15,807.20"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK UTILITY, 4X4",EDA Delivered,9/30/13,3,3,3,0,3,"$110,796.00","$22,159.20"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK UTILITY, HMMWV",Service Authorized to Supply EDA,2/6/12,1,1,0,0,0,"$34,461.00","$6,892.20"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK UTILITY, HMMWV, 1 1/4 T",Service Authorized to Supply EDA,2/6/12,15,15,0,0,0,"$525,000.00","$105,000.00"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,SEMI-TRAILER LOW BED  50 TON,Service Authorized to Supply EDA,2/6/12,3,3,0,0,0,"$74,433.00","$14,886.60"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"FIRE CONTROL EQUIPMENT, PARTS AND COMPONENTS",EDA Delivered,9/30/14,0,0,0,0,0,"$580,600.97","$116,120.19"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,VEHICULAR EQUIPMENT COMPONENTS,EDA Delivered,9/30/13,0,0,0,0,0,"$5,178,210.25","$1,035,642.05"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, CARGO, DPSD, 5T",EDA Delivered,11/15/13,2,2,2,0,1,"$171,892.00","$34,378.40"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, CARGO, DPSD, 5T",EDA Delivered,9/30/12,2,2,2,0,2,"$150,556.00","$45,166.80"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, CARGO, DPSD, 5T",EDA Delivered,3/24/14,6,6,6,0,6,"$451,668.00","$90,333.60"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, CARGO, DPSD, 5T",EDA Delivered,9/30/13,91,91,0,0,90,"$6,850,298.00","$1,370,059.60"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, CARGO, 5T",EDA Delivered,3/20/14,2,2,2,0,2,"$144,080.00","$57,632.00"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, CARGO, 5T",EDA Delivered,9/30/12,1,1,1,0,1,"$72,040.00","$21,612.00"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, CARGO, 5T XLWB",EDA Delivered,9/30/13,4,4,4,0,4,"$333,720.00","$66,744.00"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, CARGO, 5T XLWB",EDA Delivered,9/30/13,1,1,1,0,1,"$83,430.00","$16,686.00"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, CARGO, 5T XLWB",EDA Delivered,9/30/12,2,2,2,0,2,"$166,860.00","$33,372.00"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, CARGO, 5T XLWB",EDA Delivered,9/30/12,1,1,1,0,1,"$85,304.00","$25,591.20"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, CARGO, 5T XLWB",EDA Delivered,5/1/15,1,1,1,0,1,"$85,304.00","$17,060.80"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, CARGO, 5T XLWB",EDA Delivered,4/28/15,1,1,,1,1,"$85,304.00","$17,060.80"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, CARGO, 5T XLWB",EDA Delivered,9/30/13,2,2,2,0,2,"$168,300.00","$33,660.00"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, CARGO, 5T XLWB",EDA Delivered,9/30/13,5,5,5,0,5,"$420,750.00","$84,150.00"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, CARGO, 5T XLWB",EDA Delivered,9/30/13,1,1,1,0,1,"$84,150.00","$16,830.00"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, CARGO, 5T",EDA Delivered,9/30/12,1,1,1,0,1,"$66,858.00","$20,057.40"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, TRACTOR, 5T",EDA Delivered,9/30/13,1,1,1,0,1,"$70,996.00","$21,298.80"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, TRACTOR, 5T",EDA Delivered,9/30/12,1,1,1,0,1,"$70,996.00","$21,298.80"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, TRACTOR, 5T",EDA Delivered,9/30/12,4,4,4,0,4,"$283,984.00","$56,796.80"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, TRACTOR, 5T",EDA Delivered,9/30/12,2,2,2,0,1,"$149,668.00","$44,900.40"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, TRACTOR, 5T",EDA Delivered,9/30/12,4,4,4,0,4,"$344,812.00","$103,443.60"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, TRACTOR, 5T",EDA Delivered,9/30/12,1,1,1,0,1,"$75,620.00","$22,686.00"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, TRACTOR, 5T",Service Authorized to Supply EDA,6/15/12,2,2,0,0,0,"$151,240.00","$30,248.00"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, VAN, 5T EXP",EDA Delivered,9/30/13,3,3,3,0,3,"$405,366.00","$121,609.80"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, VAN, 5T EXP",EDA Delivered,3/20/14,25,25,0,0,30,"$3,378,050.00","$675,610.00"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, VAN, 5T EXP",EDA Delivered,9/30/13,2,2,2,0,2,"$270,244.00","$54,048.80"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, VAN EXP, 5T",Service Authorized to Supply EDA,6/15/12,1,1,0,0,0,"$145,700.00","$43,710.00"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, VAN EXP, 5T",Service Authorized to Supply EDA,6/15/12,5,5,0,0,0,"$728,500.00","$145,700.00"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, VAN EXP, 5T",Service Authorized to Supply EDA,6/15/12,2,2,0,0,0,"$291,400.00","$58,280.00"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, WRECKER, 5T PIP",EDA Delivered,9/30/13,8,8,8,0,16,"$1,005,888.00","$301,766.40"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, WRECKER, 5T PIP",EDA Delivered,9/30/13,19,19,19,0,19,"$2,388,984.00","$477,796.80"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, WRECKER, 5T PIP",EDA Delivered,3/24/14,1,1,1,0,2,"$125,736.00","$25,147.20"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, WRECKER, 5T",EDA Delivered,1/16/14,1,1,1,0,1,"$168,960.00","$50,688.00"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK UTILITY, HMMWV, 1 1/4 T",EDA Delivered,9/30/12,28,28,28,0,28,"$972,580.00","$291,774.00"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK UTILITY, HMMWV, 1 1/4 T",EDA Delivered,9/30/13,84,84,84,0,84,"$2,917,740.00","$583,548.00"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, CARGO, 2.5T, ESP",EDA Delivered,8/12/12,7,7,7,0,4,"$395,500.00","$118,650.00"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, TANK, WATER, 2.5T",Service Authorized to Supply EDA,2/6/12,1,1,0,0,0,"$77,692.00","$7,769.20"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, CARGO, DROP SIDE, 5T",Service Authorized to Supply EDA,2/6/12,1,1,0,0,0,"$70,613.00","$28,245.20"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, CARGO, DROP SIDE, 5T",EDA Delivered,8/12/12,15,15,15,0,5,"$1,059,195.00","$317,758.50"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, CARGO, DROP SIDE, 5T",EDA Delivered,4/30/15,26,26,,0,4,"$1,835,938.00","$367,187.60"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, CARGO, DPSD, 5T",EDA Delivered,8/12/12,4,4,4,0,3,"$297,800.00","$89,340.00"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, CARGO, DPSD, 5T",EDA Delivered,8/12/12,1,1,1,0,1,"$74,450.00","$14,890.00"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, CARGO, 5T, D/S",EDA Delivered,4/30/14,1,1,1,0,1,"$67,139.00","$26,855.60"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, CARGO, 5T, D/S",EDA Delivered,4/30/14,1,1,1,0,1,"$67,139.00","$13,427.80"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, CARGO, 5T",EDA Delivered,8/12/12,1,1,1,0,1,"$72,040.00","$14,408.00"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, CARGO, 5T XLWB",Service Authorized to Supply EDA,2/6/12,2,2,0,0,0,"$166,860.00","$66,744.00"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, CARGO, 5T XLWB",EDA Delivered,9/30/13,1,1,1,0,1,"$83,430.00","$16,686.00"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, CARGO, 5T XLWB",EDA Delivered,9/30/13,3,3,3,0,3,"$252,450.00","$100,980.00"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, CARGO, 5T XLWB",EDA Delivered,9/30/13,4,4,4,0,4,"$336,600.00","$100,980.00"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, CARGO, 5T XLWB",EDA Delivered,9/30/13,3,3,3,0,3,"$252,450.00","$50,490.00"
Grant Authority,2012,Defense Logistics Agency (DLA),Morocco,"TRUCK, CARGO, 5T XLWB",EDA Delivered,9/30/13,1,1,1,0,1,"$84,150.00","$8,415.00"
Grant Authority,2012,Army,Morocco,"TRUCK UTILITY, HMMWV, CARGO/TROOP CARRIER",EDA Delivered,4/30/13,399,399,399,0,18,"$13,859,265.00","$1,385,727.00"
Grant Authority,2012,Defense Logistics Agency (DLA),Niger,"ENGINES, TURBINES, PARTS, COMPONENTS & ACCESSORIES",Service Authorized to Supply EDA,7/2/12,0,0,0,0,0,"$93,972.40","$28,191.72"
Grant Authority,2012,Defense Logistics Agency (DLA),Niger,BUILDING MATERIALS,Service Authorized to Supply EDA,7/2/12,0,0,0,0,0,"$187,944.80","$56,383.44"
Grant Authority,2012,Defense Logistics Agency (DLA),Niger,CAMOUFLAGE & DECEPTION EQUIPMENT,Service Authorized to Supply EDA,7/2/12,0,0,0,0,0,"$93,972.40","$28,191.72"
Grant Authority,2012,Defense Logistics Agency (DLA),Niger,"VEHICULAR PARTS, COMPONENTS AND EQUIPMENT",Service Authorized to Supply EDA,7/2/12,0,0,0,0,0,"$93,972.40","$28,191.72"
Grant Authority,2012,Defense Logistics Agency (DLA),Niger,"TEXTILES, CLOTHING, PERSONAL GEAR AND EQUIPMENT",EDA Delivered,3/24/15,0,0,0,0,0,"$93,972.40","$28,191.72"
Grant Authority,2012,Defense Logistics Agency (DLA),Niger,MECHANICAL POWER TRANSMISSION EQUIPMENT / BEARINGS,Service Authorized to Supply EDA,7/2/12,0,0,0,0,0,"$93,972.40","$28,191.72"
Grant Authority,2012,Defense Logistics Agency (DLA),Niger,MAINTENANCE/REPAIR/MEASURING TOOLS & SHOP EQUIPMEN,EDA Delivered,9/30/14,0,0,0,0,0,"$93,972.40","$28,191.72"
Grant Authority,2012,Navy,Nigeria,CGC GALLATIN HIGH ENDURANCE CUTTER,EDA Delivered,3/31/14,1,1,1,0,1,"$75,678,070.00","$7,567,807.00"
Grant Authority,2012,Navy,Nigeria,OUTFIT AND EQUIPMENT CGC GALLATIN,EDA Delivered,3/31/14,0,0,0,0,0,"$2,592,340.00","$259,234.00"
Grant Authority,2012,Navy,Philippines,OUTFIT/EQUIPMENT FOR USCGC DALLAS,EDA Delivered,5/22/12,1,1,1,0,1,"$197,131.00","$19,713.00"
Grant Authority,2012,Army,Philippines,"TANK, M113A2, ARMORED PERSONNEL CARRIER",EDA Delivered,12/10/15,100,100,100,0,100,"$24,448,400.00","$2,444,840.00"
Grant Authority,2012,Army,Philippines,M113A2 ARMORED PERSONNEL CARRIER,EDA Delivered,12/10/15,14,14,14,0,14,"$3,422,776.00","$342,277.60"
Grant Authority,2012,Navy,Philippines,"USCG HIGH ENDURANCE CUTTER, DALLAS",EDA Delivered,5/22/12,1,1,1,0,1,"$78,115,381.00","$7,811,538.00"
FMS Sales,2012,Navy,Spain,SH-60F HELICOPTER,EDA Accepted/LOA Implemented,1/31/17,2,2,2,0,0,"$46,762,270.00","$9,352,454.00"
Grant Authority,2012,Air Force,Thailand,F100-PW-220/E ENGINES,EDA Accepted/LOA Implemented,4/2/13,5,5,5,0,0,"$26,300,000.00","$2,630,000.00"
Grant Authority,2012,Air Force,Thailand,ENGINE TRAILER FOR F100 ENGINE,EDA Accepted/LOA Implemented,4/2/13,5,5,5,0,0,"$22,680.00","$4,535.00"
Grant Authority,2012,Army,Thailand,"TRUCK, UTILITY, M1025A0",Service Authorized to Supply EDA,4/1/13,175,175,48,0,0,"$6,736,800.00","$673,680.00"
Grant Authority,2012,Army,Thailand,"TRUCK, UTILITY",Service Authorized to Supply EDA,4/1/13,115,115,0,0,0,"$3,963,015.00","$396,301.50"
Grant Authority,2012,Army,Thailand,"TRUCK UTILITY, HMMWV, 1 1/4 T",Service Authorized to Supply EDA,4/1/13,750,750,152,0,0,"$26,051,250.00","$2,605,125.00"
Grant Authority,2012,Army,Thailand,"TRUCK, DUMP, M929A2",Service Authorized to Supply EDA,4/1/13,28,28,0,0,0,"$2,027,900.00","$202,790.00"
Grant Authority,2012,Army,Thailand,"TRUCK, DUMP, M930A2",Service Authorized to Supply EDA,4/1/13,1,1,0,0,0,"$92,489.00","$9,248.90"
Grant Authority,2012,Army,Thailand,"TRUCK, UTILITY, M1037A0",Service Authorized to Supply EDA,4/1/13,50,50,0,0,0,"$1,846,600.00","$184,660.00"
Grant Authority,2012,Army,Thailand,"TRUCK, UTILITY, M1026A",Service Authorized to Supply EDA,4/1/13,75,75,0,0,0,"$2,963,850.00","$296,385.00"
Grant Authority,2012,Army,Tunisia,"TRUCK, WRECKER",Service Authorized to Supply EDA,8/23/12,10,10,0,0,0,"$1,689,600.00","$168,960.00"
Grant Authority,2012,Army,Tunisia,TRUCK TRACTOR,Service Authorized to Supply EDA,8/23/12,10,10,0,0,0,"$862,030.00","$86,203.00"
Grant Authority,2012,Army,Tunisia,"TRUCK, UTILITY CARRIER",Service Authorized to Supply EDA,8/23/12,37,37,0,0,0,"$1,462,536.00","$146,253.60"
Grant Authority,2012,Army,Tunisia,"TRUCK, UTILITY, M1037A0",Service Authorized to Supply EDA,8/23/12,52,52,0,0,0,"$1,920,464.00","$192,046.40"
Grant Authority,2012,Army,Tunisia,"TRUCK UTILITY, HMMWV, 1 1/4 T",Service Authorized to Supply EDA,8/23/12,75,75,0,0,0,"$2,605,125.00","$260,512.50"
Grant Authority,2012,Defense Logistics Agency (DLA),Uganda,WATER PURIFICATION AND SEWAGE TREATMENT EQUIPMENT,EDA Accepted/LOA Implemented,6/22/12,0,0,0,0,0,"$216,621.31","$64,986.39"
Grant Authority,2012,Defense Logistics Agency (DLA),Uganda,"PIPE, TUBING, HOSE, AND FITTINGS",EDA Delivered,9/30/14,0,0,0,0,0,"$216,621.31","$64,986.39"
Grant Authority,2012,Defense Logistics Agency (DLA),Uganda,HANDTOOLS,EDA Delivered,6/16/14,0,0,0,0,0,"$216,621.31","$64,986.39"
Grant Authority,2012,Defense Logistics Agency (DLA),Uganda,PREFABRICATED STRUCTURES AND SCAFFOLDING,EDA Accepted/LOA Implemented,6/22/12,0,0,0,0,0,"$216,621.31","$64,986.39"
Grant Authority,2012,Defense Logistics Agency (DLA),Uganda,CLOTHING AND INDIVIDUAL EQUIPMENT,EDA Delivered,9/30/14,0,0,0,0,0,"$216,621.31","$64,986.39"
Grant Authority,2012,Defense Logistics Agency (DLA),Uganda,FURNITURE,EDA Delivered,9/30/14,0,0,0,0,0,"$216,621.31","$64,986.39"
Grant Authority,2012,Defense Logistics Agency (DLA),Uganda,FOOD PREPARATION AND SERVING EQUIPMENT,EDA Accepted/LOA Implemented,6/22/12,0,0,0,0,0,"$216,621.31","$64,986.39"
Grant Authority,2012,Defense Logistics Agency (DLA),Uganda,"TEXTILES, LEATHER, APPAREL AND TENTS",EDA Delivered,11/23/14,0,0,0,0,0,"$216,621.31","$64,986.39"
Grant Authority,2012,Defense Logistics Agency (DLA),Uganda,"MED, DENT & VET EQUIPMENT & SUPPLIES",EDA Delivered,5/28/15,0,0,0,0,0,"$216,621.31","$64,986.39"
Grant Authority,2012,Navy,Yemen,SPARE PARTS FOR 44 FT MOTOR LIFE BOATS,EDA Delivered,10/1/16,N/A,N/A,N/A,N/A,N/A,"$55,845.00","$22,338.00"
FMS Sales,2011,Navy,Australia,11H108 FLIGHT SURFACE CONTROL TRAINERS,EDA Accepted/LOA Implemented,6/30/11,7,7,0,0,0,"$1,123,780.00","$224,756.00"
Grant Authority,2011,Army,Bahrain,"MACHINE GUN, 7.62, M60",EDA Cancelled,7/15/13,500,500,0,0,0,"$2,932,000.00","$586,500.00"
Grant Authority,2011,Army,Bahrain,M981 CARRIER PERSONNEL,EDA Cancelled,4/14/11,430,430,0,0,0,"$237,947,810.00","$47,589,562.00"
Grant Authority,2011,Navy,Bahrain,32 FT PATROL BOAT,Service Authorized to Supply EDA,4/30/12,12,12,0,0,0,"$4,007,271.96","$60,000.00"
Grant Authority,2011,Army,Bahrain,M577A2 COMMAND POST CARRIER,EDA Cancelled,4/14/11,705,705,0,0,0,"$227,840,490.00","$45,568,098.00"
Grant Authority,2011,Army,Bahrain,M1059 CARRIER SMOKE GENERATOR,EDA Cancelled,4/14/11,42,42,0,0,0,"$10,710,000.00","$2,142,000.00"
Grant Authority,2011,Defense Logistics Agency (DLA),Bahrain,"TRUCK, TRACTOR",EDA Delivered,10/1/11,1,1,1,0,1,"$69,000.00","$13,800.00"
Grant Authority,2011,Defense Logistics Agency (DLA),Bahrain,"TRUCK, TRACTOR",EDA Delivered,10/1/11,1,1,1,0,1,"$82,760.00","$16,552.00"
Grant Authority,2011,Defense Logistics Agency (DLA),Bahrain,"TRUCK, TRACTOR",EDA Delivered,10/1/11,7,7,7,0,7,"$1,126,300.00","$225,260.00"
Grant Authority,2011,Defense Logistics Agency (DLA),Bahrain,"TRUCK, TRACTOR",EDA Delivered,10/1/11,1,1,1,0,1,"$160,900.00","$8,045.00"
Grant Authority,2011,Defense Logistics Agency (DLA),Bahrain,"TRUCK, TRACTOR",EDA Delivered,10/1/11,2,2,2,0,2,"$321,800.00","$128,720.00"
Grant Authority,2011,Defense Logistics Agency (DLA),Bahrain,"TRUCK, TRACTOR",EDA Delivered,10/1/11,12,12,12,0,12,"$1,930,800.00","$386,160.00"
Grant Authority,2011,Defense Logistics Agency (DLA),Bahrain,"TRUCK, TRACTOR",EDA Delivered,10/1/11,4,4,4,0,4,"$643,600.00","$64,360.00"
Grant Authority,2011,Defense Logistics Agency (DLA),Bahrain,"TRAILER, CARGO 1.5 TON",EDA Delivered,10/1/11,4,4,4,0,4,"$34,096.00","$10,228.80"
Grant Authority,2011,Defense Logistics Agency (DLA),Bahrain,"TRAILER, CARGO 1.5 TON",EDA Delivered,10/1/11,2,2,2,0,2,"$17,048.00","$3,409.60"
Grant Authority,2011,Defense Logistics Agency (DLA),Bahrain,"TRAILER, CARGO 3/4 TON",EDA Delivered,10/1/11,3,3,3,0,3,"$2,961.00",$592.20
Grant Authority,2011,Defense Logistics Agency (DLA),Bahrain,"TRAILER, CARGO 3/4 TON",EDA Delivered,10/1/11,7,7,7,0,7,"$6,909.00",$690.90
Grant Authority,2011,Defense Logistics Agency (DLA),Bahrain,"TRAILER, CHASSIS 3/4 TON",EDA Delivered,10/1/11,4,4,4,0,4,"$21,204.00","$4,240.80"
Grant Authority,2011,Defense Logistics Agency (DLA),Bahrain,"TRAILER, CARGO 3/4 TON",EDA Delivered,10/1/11,14,14,14,0,14,"$54,516.00","$10,903.20"
Grant Authority,2011,Defense Logistics Agency (DLA),Bahrain,"TRAILER, CARGO 3/4 TON",EDA Delivered,10/1/11,6,6,6,0,6,"$23,364.00","$2,336.40"
Grant Authority,2011,Defense Logistics Agency (DLA),Bahrain,"TRAILER, HEAVY CHASSIS",Service Authorized to Supply EDA,12/20/10,2,2,0,0,0,"$17,908.00","$3,581.60"
Grant Authority,2011,Defense Logistics Agency (DLA),Bahrain,"TRAILER, LIGHT CHASSIS",EDA Delivered,10/1/11,9,9,9,0,9,"$80,586.00","$32,234.40"
Grant Authority,2011,Defense Logistics Agency (DLA),Bahrain,"TRAILER, LIGHT CHASSIS",EDA Delivered,10/1/11,4,4,4,0,4,"$35,816.00","$10,744.80"
Grant Authority,2011,Defense Logistics Agency (DLA),Bahrain,"TRAILER, LIGHT CHASSIS",EDA Delivered,10/1/11,6,6,6,0,6,"$53,724.00","$16,117.20"
Grant Authority,2011,Defense Logistics Agency (DLA),Bahrain,"TRAILER, LIGHT CHASSIS",EDA Delivered,10/1/11,12,12,12,0,12,"$107,448.00","$21,489.60"
Grant Authority,2011,Defense Logistics Agency (DLA),Bahrain,"TRAILER, TANK, WATER",Service Authorized to Supply EDA,12/20/10,1,1,0,0,0,"$12,955.00","$1,295.50"
Grant Authority,2011,Defense Logistics Agency (DLA),Bahrain,"TRUCK, MATERIAL ,HAND",Service Authorized to Supply EDA,12/20/10,1,1,0,0,0,"$271,919.53","$81,575.86"
Grant Authority,2011,Defense Logistics Agency (DLA),Bahrain,"JACK, HYDRAULIC, HAND",Service Authorized to Supply EDA,12/20/10,11,11,0,0,0,"$34,725.57","$13,890.23"
Grant Authority,2011,Defense Logistics Agency (DLA),Bahrain,"JACK, HYDRAULIC, HAND",Service Authorized to Supply EDA,12/20/10,145,145,0,0,0,"$279,645.55","$139,822.78"
Grant Authority,2011,Defense Logistics Agency (DLA),Bahrain,WELDER (MILLER),Service Authorized to Supply EDA,12/20/10,1,1,0,0,0,"$12,180.00","$1,218.00"
Grant Authority,2011,Army,Bahrain,"TRACK, M113A2, ARMORED PERSONNEL CARRIER",EDA Delivered,7/7/17,224,224,100,0,100,"$54,764,416.00","$10,952,883.20"
Grant Authority,2011,Army,Bahrain,"VEHICLE, COMBAT, ITV",Service Authorized to Supply EDA,2/15/11,1,1,0,0,0,"$369,906.00","$73,981.20"
Grant Authority,2011,Army,Bahrain,"CARRIER, ANTITANK",Service Authorized to Supply EDA,2/15/11,49,49,0,0,0,"$19,260,038.00","$3,852,007.60"
Grant Authority,2011,Army,Bahrain,M548 CARGO CARRIER,Service Authorized to Supply EDA,2/15/11,2,2,0,0,0,"$212,850.00","$42,570.00"
Grant Authority,2011,Army,Bahrain,M548A1 CARGO CARRIER,Service Authorized to Supply EDA,2/15/11,56,56,0,0,0,"$13,670,720.00","$2,734,144.00"
Grant Authority,2011,Army,Bahrain,"COMMAND POST CARRIER, M577A2",EDA Delivered,7/7/17,295,295,20,0,20,"$95,337,510.00","$19,067,502.00"
Grant Authority,2011,Army,Bahrain,"M981 CARRIER, PERSONNEL",Service Authorized to Supply EDA,2/15/11,148,148,0,0,0,"$81,898,316.00","$16,379,663.20"
Grant Authority,2011,Army,Bahrain,"M1059 CARRIER, SMOKE GENERATOR",EDA Delivered,7/7/17,16,16,16,0,16,"$4,080,000.00","$816,000.00"
Grant Authority,2011,Army,Bahrain,M106A2 MORTAR CARRIER,EDA Delivered,7/7/17,1,1,1,0,1,"$205,400.00","$41,080.00"
Grant Authority,2011,Defense Logistics Agency (DLA),Bahrain,"TRUCK, STAKE",Service Authorized to Supply EDA,12/20/10,1,1,0,0,0,"$57,058.00","$17,117.40"
Grant Authority,2011,Defense Logistics Agency (DLA),Bahrain,"TRUCK, STAKE",Service Authorized to Supply EDA,12/20/10,2,2,0,0,0,"$221,820.00","$66,546.00"
Grant Authority,2011,Defense Logistics Agency (DLA),Bahrain,"TRUCK, PALLETIZED",Service Authorized to Supply EDA,12/20/10,1,1,0,0,0,"$360,139.00","$36,013.90"
Grant Authority,2011,Army,Bahrain,ARMORED PERSONNEL CARRIER,EDA Cancelled,4/14/11,63,63,0,0,0,"$15,402,492.00","$3,080,498.40"
Grant Authority,2011,Army,Bahrain,"VEHICLE, COMBAT, ITV",EDA Cancelled,4/14/11,16,16,0,0,0,"$5,918,496.00","$1,183,699.20"
Grant Authority,2011,Army,Bahrain,"CARRIER, ANTITANK",EDA Cancelled,4/14/11,208,208,0,0,0,"$81,756,896.00","$16,351,379.20"
Grant Authority,2011,Army,Bahrain,"CARRIER, CARGO",EDA Cancelled,4/14/11,71,71,0,0,0,"$17,332,520.00","$3,466,504.00"
Grant Authority,2011,Navy,Bangladesh,"CGC RUSH, HIGH ENDURANCE CUTTER",EDA Cancelled,7/26/11,1,1,0,0,0,"$69,339,820.00","$6,933,981.00"
Grant Authority,2011,Air Force,Bangladesh,C-130E AIRCRAFT,EDA Rejected,9/30/12,4,4,0,4,0,"$58,735,192.00","$12,564,793.00"
